,Player,Tm,Pos,Age,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Cmp,PassAtt,Cmp%,PassTD,TD%,Int,Int%,PassYds/A,AY/A,Y/C,PassYds/G,Rate,QBR,Sk,Sk%,RushAtt,RushYds,RushTD,RushYds/A,RushYds/G,Tgt,Rec,Ctch%,RecYds,Y/R,RecTD,Y/Tgt,R/G,RecYds/G,A/G,Touch,Y/Tch,YScm,RRTD
644,Xavier Gipson,NYJ,WR,22.0,38.0,58.7,63.7,48.2,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,68.0,1.0,8.5,4.0,38.0,21.0,0.0,229.0,10.9,0.0,6.0,1.2,13.5,0.5,29.0,10.2,297.0,1.0
645,Xavier Hutchinson,HOU,WR,23.0,14.0,21.9,21.9,17.9,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,49.0,0.0,9.8,3.1,19.0,8.0,0.0,90.0,11.3,0.0,4.7,0.5,5.6,0.3,13.0,10.7,139.0,0.0
646,Xazavian Valladay,NYJ,RB,25.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,Zach Charbonnet,SEA,RB,22.0,73.0,106.1,112.1,89.6,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,462.0,1.0,4.3,28.9,40.0,33.0,0.0,209.0,6.3,0.0,5.2,2.1,13.1,6.8,141.0,4.8,671.0,1.0
648,Zach Ertz,ARI,TE,33.0,25.0,51.7,54.7,38.2,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,27.0,0.0,187.0,6.9,1.0,4.3,3.9,26.7,0.0,27.0,6.9,187.0,1.0
649,Zach Evans,LAR,RB,22.0,2.0,1.9,1.9,1.9,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,0.0,2.1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,9.0,2.1,19.0,0.0
650,Zach Gentry,LVR,TE,27.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,Zach Pascal,ARI,WR,29.0,2.0,5.9,5.9,3.9,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,19.0,4.8,0.0,1.3,0.3,1.4,0.0,4.0,4.8,19.0,0.0
652,Zach Wilson,NYJ,QB,24.0,120.0,119.9,139.9,126.9,0.0,29.0,0.0,221.0,368.0,60.1,8.0,2.2,7.0,1.9,6.2,5.8,10.3,189.3,77.2,30.6,46.0,11.1,36.0,211.0,0.0,5.9,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,5.9,211.0,0.0
653,Zack Kuntz,NYJ,TE,24.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,Zack Moss,IND,RB,26.0,143.0,169.6,175.6,156.1,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,794.0,5.0,4.3,56.7,37.0,27.0,0.0,192.0,7.1,2.0,5.2,1.9,13.7,13.1,210.0,4.7,986.0,7.0
655,Zamir White,LVR,RB,24.0,59.0,73.9,77.9,66.4,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,451.0,1.0,4.3,26.5,19.0,15.0,0.0,98.0,6.5,0.0,5.2,0.9,5.8,6.1,119.0,4.6,549.0,1.0
656,Zay Flowers,BAL,WR,23.0,129.0,206.4,209.4,167.9,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,56.0,1.0,7.0,3.5,108.0,77.0,0.0,858.0,11.1,5.0,7.9,4.8,53.6,0.5,85.0,10.8,914.0,6.0
657,Zay Jones,JAX,WR,28.0,44.0,78.1,81.1,61.1,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,34.0,0.0,321.0,9.4,2.0,5.0,3.8,35.7,0.0,34.0,9.4,321.0,2.0
658,Zeke Turner,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,2.0,2.0,0.0
659,Zonovan Knight,DET,RB,22.0,2.0,3.1,3.1,2.6,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,4.3,6.5,1.0,1.0,0.0,8.0,8.0,0.0,8.0,0.5,4.0,1.5,4.0,5.3,21.0,0.0
